iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions,process_iteration
0,4,0,1,923.0,4140.0,477108.0,477828.0,53171.0
1,4,0,1,1016.0,2657.0,479194.0,448030.0,53439.0
2,4,0,1,991.0,2654.0,487105.0,466749.0,55530.0
3,4,0,1,917.0,2485.0,489991.0,477342.0,54169.0
4,4,0,1,942.0,2497.0,485883.0,468861.0,54560.0
5,4,0,1,944.0,2533.0,491859.0,458266.0,56028.0
6,4,0,1,946.0,2502.0,482905.0,448428.0,53951.0
7,4,0,1,942.0,2501.0,486932.0,438853.0,105045.0
8,4,0,1,1552.0,2547.0,485366.0,452612.0,50619.0
9,4,0,1,1074.0,2576.0,487711.0,458438.0,53884.0
0,4,1,1,955.0,2618.0,515769.0,475707.0,56851.0
1,4,1,1,944.0,2573.0,503527.0,455433.0,55415.0
2,4,1,1,933.0,2581.0,513445.0,458648.0,57598.0
3,4,1,1,959.0,2694.0,508941.0,459463.0,56896.0
4,4,1,1,945.0,2548.0,511272.0,472036.0,56094.0
5,4,1,1,964.0,2776.0,543964.0,438564.0,55720.0
6,4,1,1,1028.0,2606.0,512667.0,475059.0,56867.0
7,4,1,1,958.0,2673.0,512227.0,483985.0,56250.0
8,4,1,1,953.0,2643.0,517201.0,484327.0,57661.0
9,4,1,1,1023.0,2939.0,541479.0,485748.0,174850.0
0,4,2,1,1002.0,2769.0,792015.0,537349.0,58883.0
1,4,2,1,987.0,2806.0,585473.0,439738.0,60662.0
2,4,2,1,1707.0,2754.0,544863.0,488363.0,59924.0
3,4,2,1,965.0,2798.0,557526.0,483004.0,69427.0
4,4,2,1,942.0,2757.0,552697.0,481981.0,117828.0
5,4,2,1,969.0,2722.0,554310.0,464696.0,59030.0
6,4,2,1,941.0,2730.0,548155.0,471432.0,60534.0
7,4,2,1,949.0,2913.0,543252.0,482834.0,58126.0
8,4,2,1,950.0,2810.0,549198.0,466593.0,61992.0
9,4,2,1,945.0,2828.0,540471.0,472580.0,59040.0
0,4,3,1,926.0,2918.0,632006.0,466600.0,64337.0
1,4,3,1,940.0,2947.0,596277.0,478823.0,64711.0
2,4,3,1,940.0,2923.0,632493.0,453914.0,64747.0
3,4,3,1,954.0,2924.0,631002.0,480809.0,65649.0
4,4,3,1,944.0,3720.0,625309.0,438657.0,64519.0
5,4,3,1,949.0,2906.0,604203.0,485773.0,64243.0
6,4,3,1,940.0,2950.0,638846.0,440609.0,65892.0
7,4,3,1,942.0,2911.0,633678.0,451974.0,64384.0
8,4,3,1,941.0,2918.0,625494.0,459604.0,66349.0
9,4,3,1,956.0,2996.0,629865.0,461163.0,66852.0
0,4,4,1,923.0,3100.0,680707.0,457077.0,70841.0
1,4,4,1,926.0,3121.0,683347.0,483988.0,70303.0
