iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions,process_iteration
0,8,0,1,3425.5,8528.5,2898227.4,1165156.6,259109.6
0,8,0,2,3296.7,8020.7,2940961.2,1854.2,249577.5
0,8,0,4,3328.5,8246.6,2937454.3,3250.7,250417.6
0,8,0,8,3276.5,8134.3,2918386.2,5227.5,249655.2
0,8,0,16,3304.2,7913.7,2901601.0,5569.9,252388.4
0,8,0,32,3325.6,7928.1,2932061.9,5316.4,252034.7
0,8,0,64,3311.5,8016.7,2914328.1,5919.6,251464.8
0,8,0,128,3333.5,7915.3,2877881.6,5837.2,251012.3
0,8,8,1,3371.3,80269.1,30150965.3,3990014.3,2078216.7
0,8,8,2,3370.7,80431.8,30252088.0,7073.0,2052347.2
0,8,8,4,3350.2,79774.7,29912083.9,11568.5,2053248.1
0,8,8,8,3365.2,80523.5,30344506.3,21950.2,2062321.3
0,8,8,16,3392.8,80045.5,30182735.9,24721.8,2066303.5
0,8,8,32,3449.9,80721.7,30394537.6,23920.3,2074256.7
0,8,8,64,3386.5,79741.6,30576625.3,24234.3,2074625.2
0,8,8,128,3389.1,80356.6,30538813.0,24662.2,2072088.5
0,16,0,1,5953.2,19392.6,7986985.4,1542132.2,856158.3
0,16,0,2,5839.5,19523.4,7918023.3,2452.6,828873.8
0,16,0,4,5758.0,19593.6,7981347.2,4208.7,836242.5
0,16,0,8,5787.7,19599.4,7940470.5,6679.9,835150.0
0,16,0,16,5756.9,19861.7,7949598.0,11364.3,842848.3
0,16,0,32,5837.2,19794.2,7896686.3,11721.8,843138.3
0,16,0,64,5785.9,19494.1,7957624.3,11266.2,847739.8
0,16,0,128,5773.4,20094.5,8111556.0,11172.8,852853.1
0,16,8,1,5952.8,106965.0,40729267.6,5543761.9,3807977.2
0,16,8,2,6011.2,106297.7,40390610.0,6579.9,3731501.2
0,16,8,4,5988.9,107770.4,40235351.9,13338.2,3741788.5
0,16,8,8,5985.5,107250.5,40011072.2,21141.3,3759041.3
0,16,8,16,5996.1,107134.4,40501730.6,36820.1,3783145.4
0,16,8,32,5980.9,107085.2,40322691.5,37153.2,3739078.2
0,16,8,64,6028.1,107684.8,40644959.6,40301.7,3757747.6
0,16,8,128,5947.8,107506.3,40768270.2,40338.0,3768394.3
0,32,0,1,12225.7,29479.5,11182364.7,2296785.0,3845430.6
0,32,0,2,12175.3,29785.5,11260415.3,2785.6,1871587.9
0,32,0,4,12224.7,29777.6,11077751.9,3940.6,1868554.8
0,32,0,8,12209.2,29835.9,11181334.6,6176.8,1874966.9
0,32,0,16,12099.0,29731.5,11131567.8,11984.0,1882419.0
0,32,0,32,11912.7,29628.4,11098464.7,23656.1,1915341.9
0,32,0,64,12277.9,29741.5,11288657.0,23958.7,1914476.6
0,32,0,128,12215.5,29968.6,11351957.7,24012.8,1930903.4
0,32,8,1,12636.1,312602.5,113432595.0,13298867.6,15364975.1
0,32,8,2,12509.5,311118.4,115001779.5,7705.3,15211694.0
0,32,8,4,12637.3,313016.8,115653174.4,16271.2,15136145.2
0,32,8,8,12500.7,313263.4,114515813.4,28334.9,15186677.2
0,32,8,16,12683.2,315473.7,116149314.3,51381.4,15348350.3
0,32,8,32,12619.9,312337.2,116292086.0,99146.5,15410366.8
0,32,8,64,12630.9,317016.7,116518479.4,100313.7,15524279.9
0,32,8,128,12502.0,312553.3,115410541.7,102854.2,15477142.2
0,64,0,1,22810.9,47801.7,17681930.9,3699163.4,4978528.9
0,64,0,2,22821.8,48291.6,17895861.2,3691.7,5194817.2
0,64,0,4,22868.1,47859.3,17648659.7,5139.6,4870352.2
0,64,0,8,22852.5,47729.3,17723463.6,7419.4,4849296.3
0,64,0,16,23134.4,48197.1,18111090.0,13224.6,4895938.3
0,64,0,32,22999.6,47928.3,17681063.5,25154.3,4969803.2
0,64,0,64,23473.5,48067.0,17974073.1,54819.7,5497760.9
0,64,0,128,22976.2,47846.1,18046549.2,65722.6,5198910.3
0,64,8,1,23494.8,457810.4,157930794.0,21251955.7,36794444.5
0,64,8,2,23671.6,453227.6,161298459.0,8143.4,37341373.3
0,64,8,4,23889.0,453906.8,160505591.6,14251.2,36844675.9
0,64,8,8,24065.9,455396.7,160802523.4,26605.2,36820467.2
0,64,8,16,23537.1,455208.6,158073379.5,45225.4,36710886.1
0,64,8,32,23662.6,453359.3,159877938.5,83564.4,37068262.0
0,64,8,64,23959.8,457931.6,160467940.9,150017.2,42416129.9
0,64,8,128,23897.6,452261.5,159182079.7,164164.4,38550722.5
0,128,0,1,45845.9,120481.2,45547753.9,7457984.0,38504119.1
0,128,0,2,45995.6,120262.7,45582141.9,3796.1,20354160.1
0,128,0,4,45112.8,120179.2,44492513.1,5481.6,20054223.5
0,128,0,8,45870.3,120080.0,45258283.6,8875.4,20345749.6
0,128,0,16,44883.0,122182.2,45561566.1,14997.7,21281352.8
0,128,0,32,44631.1,119706.0,44964830.1,26088.7,23575448.7
0,128,0,64,46220.7,121303.9,44830922.1,62774.5,27505627.5
0,128,0,128,45488.3,120900.0,44824015.7,199131.9,27233265.3
0,128,8,1,46299.5,741104.2,246216403.1,36566133.3,209891142.5
0,128,8,2,46017.3,746708.2,244513186.5,10788.6,107688733.4
0,128,8,4,45993.4,741355.9,243289493.6,17630.2,107405366.7
0,128,8,8,46327.0,749830.5,243161574.2,32283.9,109520468.5
0,128,8,16,46818.4,745258.7,247417205.3,52681.5,118574303.8
0,128,8,32,46144.4,743947.4,246320696.3,102710.3,133534835.6
0,128,8,64,46476.1,745089.1,249295767.7,173716.6,146397995.7
0,128,8,128,46685.0,757471.2,243969948.8,365566.7,145983235.8
0,256,0,1,90692.2,203635.8,74927027.1,12941551.3,170699016.9
0,256,0,2,89784.2,203912.1,72887207.2,6460.9,176481878.9
0,256,0,4,89855.1,205115.5,72502146.8,7505.7,178356450.5
0,256,0,8,90332.8,204551.3,72368072.0,12147.0,182344441.0
0,256,0,16,89592.5,203816.9,73382893.0,20037.8,240472220.1
0,256,0,32,90313.6,203006.1,73090668.5,33626.7,184575840.2
0,256,0,64,89733.1,203860.0,71905597.7,67048.3,184556420.7
0,256,0,128,91038.0,203340.8,72997580.1,197088.3,183797726.6
0,256,8,1,92482.2,2108223.8,637483906.3,81572366.1,954447888.0
0,256,8,2,91618.7,2127446.6,644058800.9,13757.6,979386877.8
0,256,8,4,92917.5,2123937.7,649202276.2,19688.2,983920935.5
0,256,8,8,92045.9,2118714.7,654790216.9,34145.5,999462330.7
0,256,8,16,91536.5,2134878.1,654177599.6,55962.2,1039170991.1
0,256,8,32,92365.8,2128969.0,640419706.4,117771.7,1531729733.8
0,256,8,64,93111.5,2129359.7,648336144.0,209001.6,1522752227.4
0,256,8,128,91315.4,2128922.2,635997096.4,440281.9,1525096395.4
1,8,0,1,3290.8,8171.0,2890409.9,1021020.9,256241.5
1,8,0,2,3259.2,7982.8,2897270.8,1914.3,250240.3
1,8,0,4,3241.8,7965.4,2912105.7,3732.8,250202.5
1,8,0,8,3346.7,8170.6,2891888.4,5343.0,250740.2
1,8,0,16,3372.8,8017.7,2936200.1,5925.3,251203.5
1,8,0,32,3268.7,7931.8,2897732.0,6064.3,250713.8
1,8,0,64,3242.4,7961.9,2919097.3,6317.1,250434.5
1,8,0,128,3255.7,8002.4,2914515.2,6139.0,252095.2
1,8,8,1,3396.1,81314.7,30319015.7,4041089.4,2081275.6
1,8,8,2,3412.6,80852.8,30188258.5,7547.4,2070156.1
1,8,8,4,3387.9,80596.7,30004039.9,11877.0,2060025.4
1,8,8,8,3396.4,81019.7,30191494.6,25442.8,2054327.5
1,8,8,16,3748.8,80259.5,30340063.2,23188.4,2063403.8
1,8,8,32,3404.2,81163.4,30407739.5,25530.1,2075991.1
1,8,8,64,3408.2,81124.6,30371618.1,27869.8,2051259.3
1,8,8,128,3381.6,81132.1,30022569.0,26082.7,2053604.8
1,16,0,1,5764.2,19913.5,7875871.6,1543315.7,853268.2
1,16,0,2,5787.6,19985.2,7925298.1,2323.7,840208.7
1,16,0,4,5784.0,19720.1,7951707.0,3789.5,828347.8
1,16,0,8,5725.5,20113.2,7911458.3,6518.4,833442.4
1,16,0,16,5749.2,19910.4,7958209.3,12209.9,843026.6
1,16,0,32,5809.6,19689.5,7939051.1,12190.1,846510.2
1,16,0,64,5784.9,19453.7,7856624.9,12406.4,841964.0
1,16,0,128,5865.9,19593.1,8047336.2,12757.2,849962.3
1,16,8,1,5990.0,107195.5,39882322.9,5592321.6,3790366.0
1,16,8,2,5965.1,107509.0,40290150.5,7032.0,3750922.3
1,16,8,4,5941.5,107048.7,40044849.6,12222.2,3741209.1
1,16,8,8,6025.6,106700.4,40501220.0,22579.3,3763354.1
1,16,8,16,5990.5,106919.6,40372275.1,40025.3,3772942.5
1,16,8,32,5887.8,107401.1,40101622.2,34187.7,3770307.5
1,16,8,64,5986.1,107078.8,40510673.5,41164.7,3790102.1
1,16,8,128,6148.7,108177.6,40423927.8,39383.0,3751327.3
1,32,0,1,12032.1,29018.4,11185028.2,2317553.2,3850655.9
1,32,0,2,12076.8,29238.8,11331252.4,2344.1,1879178.7
1,32,0,4,12194.9,29771.2,11271083.4,3866.2,1891552.1
1,32,0,8,12079.6,29754.5,11225251.9,7189.7,1883732.0
1,32,0,16,12120.7,29769.4,11236217.5,12219.5,1896481.6
1,32,0,32,12203.7,29347.6,11349212.3,22236.9,1905396.8
1,32,0,64,12056.1,29288.7,11232844.2,25719.4,1924393.3
1,32,0,128,12144.8,29710.1,11101675.9,24761.8,1926484.5
1,32,8,1,12604.6,313819.0,115888364.4,13341386.0,15468027.2
1,32,8,2,12566.6,313596.9,113858424.0,7117.2,15139551.5
1,32,8,4,12665.4,314682.0,115830857.3,18337.5,15240314.4
1,32,8,8,12905.8,313902.3,114331910.2,29087.0,15231541.8
1,32,8,16,12637.4,314534.3,114549735.8,49661.0,15336056.2
1,32,8,32,12569.2,312409.6,115506984.1,84903.6,15388072.4
1,32,8,64,12723.6,316800.9,118295150.5,103419.1,15494064.8
1,32,8,128,12577.0,314288.8,114412677.7,95228.2,15565845.5
1,64,0,1,22592.5,47742.8,17787139.5,3690728.2,4968302.1
1,64,0,2,22911.3,48124.9,17752131.8,3231.8,5105396.1
1,64,0,4,22598.9,47996.2,17719484.6,5037.5,4860817.8
1,64,0,8,23239.7,48606.1,17851063.8,7830.8,4882262.9
1,64,0,16,23094.9,48698.8,17808072.6,14991.2,4851137.1
1,64,0,32,22586.5,47954.6,17790370.1,24654.0,5138800.5
1,64,0,64,23077.0,47996.5,17667266.6,56517.3,5612661.2
1,64,0,128,22749.0,47829.4,17556908.9,61624.7,5115082.5
1,64,8,1,25981.0,456691.8,158554589.7,20795147.8,36853283.7
1,64,8,2,23650.2,456872.9,158050649.5,9776.2,37072919.4
1,64,8,4,23395.3,459058.3,159446862.7,17734.9,36584752.1
1,64,8,8,23998.5,459708.1,162768690.2,28323.2,36739772.9
1,64,8,16,23617.5,457308.8,157958409.1,52311.5,36833853.6
1,64,8,32,24074.5,458949.6,158200759.2,98880.0,38230143.8
1,64,8,64,24410.0,459277.2,163544742.0,181432.7,41213471.3
1,64,8,128,23815.0,462559.7,160939765.9,176099.6,43834419.5
1,128,0,1,45251.0,122337.4,44912985.0,7565291.8,38515476.0
1,128,0,2,45396.1,120986.2,45046211.5,4196.9,20079921.1
1,128,0,4,45290.0,120400.1,45056514.4,6016.7,20060545.7
1,128,0,8,45835.5,120202.2,45566068.1,9769.9,20451249.2
1,128,0,16,44812.0,120680.8,44884265.0,16467.6,21347044.1
1,128,0,32,45760.4,121114.8,45265909.3,29685.5,23607312.9
1,128,0,64,44912.9,120788.0,44007965.2,67778.2,27463837.8
1,128,0,128,45955.6,122455.7,45363075.3,152449.8,27553926.2
1,128,8,1,46037.0,745567.0,246160032.3,36606463.5,209784271.6
1,128,8,2,45944.1,739420.7,245450246.4,9621.3,107061242.2
1,128,8,4,46106.7,741492.8,244290802.8,15240.9,107519256.0
1,128,8,8,46207.5,750686.9,242965310.3,31876.2,109831335.1
1,128,8,16,46342.7,745543.0,245173999.9,55747.1,116096085.8
1,128,8,32,47097.1,746492.2,245294300.0,88813.9,135765967.4
1,128,8,64,46707.8,748967.2,242718467.4,190602.8,146218879.6
1,128,8,128,46163.1,745829.8,246285020.8,355835.8,145736830.5
1,256,0,1,90793.1,204321.4,73397135.7,12950528.5,169981441.1
1,256,0,2,92110.7,203906.3,73729207.5,6022.0,180373841.9
1,256,0,4,89516.6,200717.1,73601570.5,7141.9,179326356.1
1,256,0,8,90219.4,202169.3,71775439.9,9911.4,182459450.8
1,256,0,16,89744.3,207137.2,72415934.1,15061.0,240069602.8
1,256,0,32,90071.1,202997.2,73437241.6,26455.9,184790971.8
1,256,0,64,90601.0,203051.3,73789108.5,63413.8,185133152.3
1,256,0,128,90986.6,204237.2,72104883.2,227804.5,184581335.6
1,256,8,1,92385.4,2137996.3,654966702.9,83165600.0,950935925.0
1,256,8,2,91282.1,2118593.1,648156891.0,11484.2,973101551.2
1,256,8,4,92767.9,2122028.4,642150117.5,20259.8,980132047.1
1,256,8,8,92692.3,2120011.7,648323561.4,32126.6,1001796087.0
1,256,8,16,92443.8,2132037.3,649397577.0,63195.3,1041022996.1
1,256,8,32,92900.7,2142272.0,642617782.1,120525.3,1527912209.4
1,256,8,64,91778.2,2149282.5,642241807.7,218355.5,1521741585.2
1,256,8,128,92744.7,2130806.2,641029104.6,472608.4,1528297061.8
2,8,0,1,3250.0,7974.5,2953246.9,1050696.0,259075.9
2,8,0,2,3333.7,7951.0,2910909.5,1711.1,251304.9
2,8,0,4,3276.6,8159.2,2895835.5,3238.9,249533.0
2,8,0,8,3236.2,8091.3,2913750.3,4613.3,254057.7
2,8,0,16,3265.3,8061.1,2962300.2,5873.1,251917.1
2,8,0,32,3235.4,7984.5,2904817.2,5787.8,250751.3
2,8,0,64,3300.2,8131.7,2900933.4,6074.1,251914.1
2,8,0,128,3305.4,8016.3,2919806.4,5285.5,251047.4
2,8,8,1,3356.5,81924.0,30215056.9,4011613.7,2084842.3
2,8,8,2,3361.4,81545.8,30445225.6,8284.3,2059718.3
2,8,8,4,3491.2,81806.9,32145506.2,12291.7,2120336.8
2,8,8,8,3308.7,81984.4,30283156.2,22591.5,2063082.6
2,8,8,16,3361.0,81243.6,30139128.6,26986.5,2080135.0
